rid,invoice,affiliation,transnum,vat,phone,title,food,name,total,member,department,package,email,address,A,B,C,D,E,F,G,H,I,
1,國立政治大學,q,q,q,q,Prof.,-1,1,1200,1,q,0,q,q,NO,YES,NO,NO,NO,NO,NO,NO,NO,
2,國立政治大學,q,q,q,q,Prof.,-1,1 w,1200,1,q,0,q,q,NO,YES,NO,NO,NO,NO,NO,NO,NO,
3,國立政治大學,q,12345,123,q,Prof.,-1,q,1200,1,q,0,q,q,YES,NO,NO,NO,NO,NO,NO,NO,NO,
4,國立政治大學,q,12343,123,q,Prof.,-1,123,1200,1,q,0,q,q,YES,NO,NO,YES,NO,NO,NO,NO,NO,
5,國立政治大學,q,12343,123,q,Prof.,-1,1231,1200,1,q,0,q,q,YES,NO,NO,YES,NO,NO,NO,NO,NO,
9,國立政治大學,123,12312,123,123,Dr.,0,12345,2000,0,123,0,123,123,NO,NO,NO,YES,NO,NO,NO,NO,NO,
10,國立東華大學,asd,12345,1234567890,asd@mailcatch.com,Prof.,-1,asda,1200,1,asd,0,asd@mailcatch.com,asd,YES,NO,NO,NO,NO,NO,NO,NO,NO,
11,國立政治大學,qwe,12345,123457,qwe,Prof.,1,qwe,2000,1,qwe,0,qwe,qwe,YES,NO,NO,NO,NO,NO,NO,NO,NO,
12,國立政治大學,,12334,,,Prof.,None,132,1000,0,,3,213,,NO,NO,NO,NO,NO,NO,NO,NO,YES,
13,國立政治大學,,12334,,,Prof.,None,13223,1000,0,,3,21323,,NO,NO,NO,NO,NO,NO,NO,NO,YES,
14,國立政治大學,,12334,,,Prof.,None,13223324,1000,0,,3,21323243,,NO,NO,NO,NO,NO,NO,NO,NO,YES,
19,國立政治大學,312,12345,23123,213ou,Dr.,None,12,1500,0,132,0,132ou,132,YES,NO,NO,NO,NO,NO,NO,NO,NO,
20,國立政治大學,,45345,,,Prof.,None,12334,1000,1,,3,12323,,YES,NO,NO,NO,NO,NO,NO,NO,NO,
21,國立政治大學,,23456,,,Dr.,None,543,1500,1,,0,35245,,NO,NO,NO,YES,NO,NO,NO,NO,NO,
22,國立政治大學,,23456,,,Dr.,None,54343,1500,1,,0,3524543,,NO,NO,NO,YES,NO,NO,NO,NO,NO,
23,國立政治大學,,12345,,,Dr.,1,231,1000,1,,3,132,,NO,NO,NO,NO,YES,NO,NO,NO,NO,
24,國立政治大學,,23456,,,Prof.,0,1234124,1500,0,,0,234324,,YES,NO,NO,NO,NO,NO,NO,NO,NO,
25,國立政治大學,,43562,,,Prof.,1,456436,1800,1,,3,3456,,NO,YES,NO,NO,NO,NO,NO,NO,NO,
26,國立政治大學,,32464,,,Dr.,None,32464326,1500,1,,0,6324643,,NO,NO,NO,YES,NO,NO,NO,NO,NO,
27,國立政治大學,,32464,,,Dr.,None,32464326345,1500,1,,0,63246433254,,NO,NO,NO,YES,NO,NO,NO,NO,NO,
28,國立政治大學,,32464,,,Dr.,None,3241264326345,1500,1,,0,6324643325411u,,NO,NO,NO,YES,NO,NO,NO,NO,NO,
29,國立政治大學,,32464,,,Dr.,None,3241264326as345,1500,1,,0,63246433254asd11u,,NO,NO,NO,YES,NO,NO,NO,NO,NO,
30,國立政治大學,,12345,,,Prof.,1,f3,1500,1,,0,12x,,YES,NO,NO,NO,NO,NO,NO,NO,NO,
31,國立政治大學,,12345,,,Prof.,None,s2413,2000,1,,1,s23,,NO,NO,NO,NO,YES,NO,NO,NO,NO,
32,國立政治大學,,12345,,,Prof.,None,s24131,2000,1,,1,s231,,NO,NO,NO,NO,YES,NO,NO,NO,NO,
33,國立政治大學,,12345,,,Prof.,None,23d23,1500,1,,0,d23d3,,YES,NO,NO,NO,NO,NO,NO,NO,NO,
34,國立政治大學,,12345,,,Prof.,None,123c,1000,1,,3,3c123,,NO,NO,NO,YES,NO,NO,NO,NO,NO,
39,國立政治大學,,12345,,,Prof.,None,1222r24r,1500,1,,0,allencat850502@gmail.com,,NO,NO,NO,NO,YES,NO,NO,NO,NO,
40,國立政治大學,,12345,,,Mrs.,None,kkkk,2300,None,,0,vicky777@sfsh.tnc.edu.tw,,NO,NO,NO,YES,YES,YES,YES,NO,NO,
41,國立政治大學,,12345,,,Dr.,None,346,1500,None,,0,78,,YES,NO,NO,NO,NO,NO,NO,NO,NO,
42,國立政治大學,,89067,,,Dr.,None,wujy,1600,None,,2,vicky777@isu.edu.tw,,NO,NO,YES,YES,YES,NO,NO,NO,NO,
43,國立政治大學,123213,13232,123,123213,Prof.,0,123123,1500,None,213123,0,3213123123,12321,YES,NO,NO,NO,NO,NO,NO,NO,NO,
